time,groupeId,uid
1716773266584,fNm6RTc6SfFtjJ73hnTx,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1716536371565,eOl1l1Abvz8xoq5ABwtt,OFfw0tOPqLfFbMCfwNoVYcxKNJf1
1717530409153,48Oxzwdhu2crSuSb9jyD,sJHi3tHqLLOnTwSlvhvLGIKeimD2
1717063125509,uYQhDPTqxbOSjzxNOimn,X5pSoHXR7oa4XH90Mg3huDaWASt1
1717333007419,eOl1l1Abvz8xoq5ABwtt,2MQXbrefhTbyejpLcfrEkn01rSz1
1717333002319,eOl1l1Abvz8xoq5ABwtt,2MQXbrefhTbyejpLcfrEkn01rSz1
1716742957214,uYQhDPTqxbOSjzxNOimn,AkK9DilFPCOis7c5aImtHk8Ui5m1
1717422564677,Initial,xd90PSoHbugHnzRD3eqHotP076X2
1716045190180,NMm07ka3XBMO7S0N6T7y,87e8FtLhawXUWZ2rR1FXpBZ2Mtz2
1716742936913,tT8yKDzWw4zoQtl2g6gm,AkK9DilFPCOis7c5aImtHk8Ui5m1
1716796459993,H1rNSqdq9p7Ptonzir0W,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1717605067702,R3XawjusHQ57Mla9yIcm,313VQeWKBWVSt90xfJKK0Y803ga2
1717352141351,eOl1l1Abvz8xoq5ABwtt,2Dnk3xqJF6NF4ZJWcA7f2zrlnO13
1717490380356,R3XawjusHQ57Mla9yIcm,xAMdtkw2WJcF7BJ2cPyscJzMosa2
1716106911104,atJ7z1W4KzLIoNJZFrY9,zAUbebwMo3TY8MqBKBldpDeyIUb2
1715971607740,eOl1l1Abvz8xoq5ABwtt,313VQeWKBWVSt90xfJKK0Y803ga2
1717605214441,atJ7z1W4KzLIoNJZFrY9,313VQeWKBWVSt90xfJKK0Y803ga2
1716742996805,R3XawjusHQ57Mla9yIcm,AkK9DilFPCOis7c5aImtHk8Ui5m1
1716636887503,H1rNSqdq9p7Ptonzir0W,I6elAlW14FXyawwu9ri0ANirM0x1
1717422561267,H1rNSqdq9p7Ptonzir0W,xd90PSoHbugHnzRD3eqHotP076X2
1717062774461,eOl1l1Abvz8xoq5ABwtt,X5pSoHXR7oa4XH90Mg3huDaWASt1
1716636772971,tT8yKDzWw4zoQtl2g6gm,I6elAlW14FXyawwu9ri0ANirM0x1
1716742855375,H1rNSqdq9p7Ptonzir0W,AkK9DilFPCOis7c5aImtHk8Ui5m1
1716773248503,eOl1l1Abvz8xoq5ABwtt,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1717490323130,uYQhDPTqxbOSjzxNOimn,xAMdtkw2WJcF7BJ2cPyscJzMosa2
1716831115464,eOl1l1Abvz8xoq5ABwtt,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1716812248214,R3XawjusHQ57Mla9yIcm,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1716636849694,atJ7z1W4KzLIoNJZFrY9,I6elAlW14FXyawwu9ri0ANirM0x1
1716636871878,R3XawjusHQ57Mla9yIcm,I6elAlW14FXyawwu9ri0ANirM0x1
1717449285677,tT8yKDzWw4zoQtl2g6gm,7odmEfSWmpOK0yXpKAux6oD84n33
1715971624313,eOl1l1Abvz8xoq5ABwtt,313VQeWKBWVSt90xfJKK0Y803ga2
1716067253305,NMm07ka3XBMO7S0N6T7y,yK8bHykMuPg4KqJof3jeuMI7Dn72
1715972511396,fNm6RTc6SfFtjJ73hnTx,313VQeWKBWVSt90xfJKK0Y803ga2
1717605212075,tT8yKDzWw4zoQtl2g6gm,313VQeWKBWVSt90xfJKK0Y803ga2
1714839072982,Initial,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1717354062530,eOl1l1Abvz8xoq5ABwtt,RM7mi4SVvGhIydxwmmt6djQQL3D3
1716742927293,48Oxzwdhu2crSuSb9jyD,AkK9DilFPCOis7c5aImtHk8Ui5m1
1716036974818,eOl1l1Abvz8xoq5ABwtt,03HAO5vU6BOlF3NSeYVTzyRaJ6W2
1717102040081,H1rNSqdq9p7Ptonzir0W,miy7809XCNhXj9Bv0VfPYXob3AD2
1716773250189,H1rNSqdq9p7Ptonzir0W,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1716106919053,R3XawjusHQ57Mla9yIcm,zAUbebwMo3TY8MqBKBldpDeyIUb2
1716773278126,R3XawjusHQ57Mla9yIcm,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1717333001370,eOl1l1Abvz8xoq5ABwtt,2MQXbrefhTbyejpLcfrEkn01rSz1
1716904203631,H1rNSqdq9p7Ptonzir0W,hA911Hr90KPbY6yO0OACx8tP2NE2
1715875036680,tT8yKDzWw4zoQtl2g6gm,hA911Hr90KPbY6yO0OACx8tP2NE2
1717333017904,eOl1l1Abvz8xoq5ABwtt,2MQXbrefhTbyejpLcfrEkn01rSz1
1716636860459,uYQhDPTqxbOSjzxNOimn,I6elAlW14FXyawwu9ri0ANirM0x1
1717530467349,NMm07ka3XBMO7S0N6T7y,sJHi3tHqLLOnTwSlvhvLGIKeimD2
1717612963793,atJ7z1W4KzLIoNJZFrY9,313VQeWKBWVSt90xfJKK0Y803ga2
1717401321868,Initial,Mdfom8mcVVZZ2iOaz2oJuUp9mhC2
1717401315206,uYQhDPTqxbOSjzxNOimn,Mdfom8mcVVZZ2iOaz2oJuUp9mhC2
1716636721268,H1rNSqdq9p7Ptonzir0W,I6elAlW14FXyawwu9ri0ANirM0x1
1716465881837,H1rNSqdq9p7Ptonzir0W,axYHQ2yjnTdwLf6R7eP5LKm82Y53
1717063120360,atJ7z1W4KzLIoNJZFrY9,X5pSoHXR7oa4XH90Mg3huDaWASt1
1716106898804,NMm07ka3XBMO7S0N6T7y,zAUbebwMo3TY8MqBKBldpDeyIUb2
1716636882264,48Oxzwdhu2crSuSb9jyD,I6elAlW14FXyawwu9ri0ANirM0x1
1717353959860,H1rNSqdq9p7Ptonzir0W,RM7mi4SVvGhIydxwmmt6djQQL3D3
1716044778882,Initial,87e8FtLhawXUWZ2rR1FXpBZ2Mtz2
1716792499412,Initial,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1717353956026,eOl1l1Abvz8xoq5ABwtt,RM7mi4SVvGhIydxwmmt6djQQL3D3
1717964173149,H1rNSqdq9p7Ptonzir0W,313VQeWKBWVSt90xfJKK0Y803ga2
1717605225656,tT8yKDzWw4zoQtl2g6gm,313VQeWKBWVSt90xfJKK0Y803ga2
1716773316435,eOl1l1Abvz8xoq5ABwtt,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1714839070483,eOl1l1Abvz8xoq5ABwtt,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1717062795104,H1rNSqdq9p7Ptonzir0W,X5pSoHXR7oa4XH90Mg3huDaWASt1
1716904341087,eOl1l1Abvz8xoq5ABwtt,hA911Hr90KPbY6yO0OACx8tP2NE2
1716831113935,48Oxzwdhu2crSuSb9jyD,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1716636816525,NMm07ka3XBMO7S0N6T7y,I6elAlW14FXyawwu9ri0ANirM0x1
1716127542467,Initial,z5Vl3tUSRgalHfSho6JFNkpjxpn1
1717963840276,fNm6RTc6SfFtjJ73hnTx,313VQeWKBWVSt90xfJKK0Y803ga2
1716812290733,tT8yKDzWw4zoQtl2g6gm,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1715972068213,H1rNSqdq9p7Ptonzir0W,313VQeWKBWVSt90xfJKK0Y803ga2
1717063092174,tT8yKDzWw4zoQtl2g6gm,X5pSoHXR7oa4XH90Mg3huDaWASt1
1717353956676,H1rNSqdq9p7Ptonzir0W,RM7mi4SVvGhIydxwmmt6djQQL3D3
1715875136945,H1rNSqdq9p7Ptonzir0W,hA911Hr90KPbY6yO0OACx8tP2NE2
1714838938625,Initial,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1717604987983,tT8yKDzWw4zoQtl2g6gm,313VQeWKBWVSt90xfJKK0Y803ga2
1716035660348,H1rNSqdq9p7Ptonzir0W,jkChc1Rrx9cuUyCM1LDJPS3Rl9h2
1717759999639,atJ7z1W4KzLIoNJZFrY9,313VQeWKBWVSt90xfJKK0Y803ga2
1716773252354,48Oxzwdhu2crSuSb9jyD,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1716127511548,H1rNSqdq9p7Ptonzir0W,z5Vl3tUSRgalHfSho6JFNkpjxpn1
1717530428138,tT8yKDzWw4zoQtl2g6gm,sJHi3tHqLLOnTwSlvhvLGIKeimD2
1717062827695,H1rNSqdq9p7Ptonzir0W,X5pSoHXR7oa4XH90Mg3huDaWASt1
1717401317592,R3XawjusHQ57Mla9yIcm,Mdfom8mcVVZZ2iOaz2oJuUp9mhC2
1717333009738,H1rNSqdq9p7Ptonzir0W,2MQXbrefhTbyejpLcfrEkn01rSz1
1716831115115,H1rNSqdq9p7Ptonzir0W,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1717612988482,uYQhDPTqxbOSjzxNOimn,313VQeWKBWVSt90xfJKK0Y803ga2
1714838923915,eOl1l1Abvz8xoq5ABwtt,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1716465880562,eOl1l1Abvz8xoq5ABwtt,axYHQ2yjnTdwLf6R7eP5LKm82Y53
1716536373611,Initial,OFfw0tOPqLfFbMCfwNoVYcxKNJf1
1715971623695,Initial,313VQeWKBWVSt90xfJKK0Y803ga2
1717605212640,NMm07ka3XBMO7S0N6T7y,313VQeWKBWVSt90xfJKK0Y803ga2
1716534682669,eOl1l1Abvz8xoq5ABwtt,NaPJhyyglGO5W5en9C6P4BoUXof2
1716811268907,eOl1l1Abvz8xoq5ABwtt,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1716904205014,Initial,hA911Hr90KPbY6yO0OACx8tP2NE2
1716904202752,eOl1l1Abvz8xoq5ABwtt,hA911Hr90KPbY6yO0OACx8tP2NE2
1717852797621,eOl1l1Abvz8xoq5ABwtt,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1716067319528,fNm6RTc6SfFtjJ73hnTx,yK8bHykMuPg4KqJof3jeuMI7Dn72
1716035093961,tT8yKDzWw4zoQtl2g6gm,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1716035298699,Initial,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1717449062908,atJ7z1W4KzLIoNJZFrY9,7odmEfSWmpOK0yXpKAux6oD84n33
1716792428273,R3XawjusHQ57Mla9yIcm,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1717605090067,tT8yKDzWw4zoQtl2g6gm,313VQeWKBWVSt90xfJKK0Y803ga2
1716792401809,tT8yKDzWw4zoQtl2g6gm,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1716134052355,tT8yKDzWw4zoQtl2g6gm,GzZT4dNYCbRjK0TBq4Sre4jcYGh1
1717348123431,fNm6RTc6SfFtjJ73hnTx,omfHlCaqhLN7VprUtxb6IsvPNcr2
1716044777929,eOl1l1Abvz8xoq5ABwtt,87e8FtLhawXUWZ2rR1FXpBZ2Mtz2
1716635501973,tT8yKDzWw4zoQtl2g6gm,ffFOXVzeR2VK49LNLOTrVK2u6DV2
1716635512415,R3XawjusHQ57Mla9yIcm,ffFOXVzeR2VK49LNLOTrVK2u6DV2
1717333007391,eOl1l1Abvz8xoq5ABwtt,2MQXbrefhTbyejpLcfrEkn01rSz1
1717490422369,tT8yKDzWw4zoQtl2g6gm,xAMdtkw2WJcF7BJ2cPyscJzMosa2
1717333017844,eOl1l1Abvz8xoq5ABwtt,2MQXbrefhTbyejpLcfrEkn01rSz1
1716636824108,fNm6RTc6SfFtjJ73hnTx,I6elAlW14FXyawwu9ri0ANirM0x1
1717102034245,eOl1l1Abvz8xoq5ABwtt,miy7809XCNhXj9Bv0VfPYXob3AD2
1716792419527,fNm6RTc6SfFtjJ73hnTx,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1717604956287,R3XawjusHQ57Mla9yIcm,313VQeWKBWVSt90xfJKK0Y803ga2
1717605233316,atJ7z1W4KzLIoNJZFrY9,313VQeWKBWVSt90xfJKK0Y803ga2
1717422562879,eOl1l1Abvz8xoq5ABwtt,xd90PSoHbugHnzRD3eqHotP076X2
1716045196012,Initial,87e8FtLhawXUWZ2rR1FXpBZ2Mtz2
1714838936395,H1rNSqdq9p7Ptonzir0W,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1716636890364,eOl1l1Abvz8xoq5ABwtt,I6elAlW14FXyawwu9ri0ANirM0x1
1716635509352,fNm6RTc6SfFtjJ73hnTx,ffFOXVzeR2VK49LNLOTrVK2u6DV2
1716127533731,NMm07ka3XBMO7S0N6T7y,z5Vl3tUSRgalHfSho6JFNkpjxpn1
1717401300656,atJ7z1W4KzLIoNJZFrY9,Mdfom8mcVVZZ2iOaz2oJuUp9mhC2
1715875152658,eOl1l1Abvz8xoq5ABwtt,hA911Hr90KPbY6yO0OACx8tP2NE2
1716045184631,NMm07ka3XBMO7S0N6T7y,87e8FtLhawXUWZ2rR1FXpBZ2Mtz2
1716792396903,48Oxzwdhu2crSuSb9jyD,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1717530384686,H1rNSqdq9p7Ptonzir0W,sJHi3tHqLLOnTwSlvhvLGIKeimD2
1717333003947,H1rNSqdq9p7Ptonzir0W,2MQXbrefhTbyejpLcfrEkn01rSz1
1716812395479,eOl1l1Abvz8xoq5ABwtt,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1717605202536,tT8yKDzWw4zoQtl2g6gm,313VQeWKBWVSt90xfJKK0Y803ga2
1715971612848,eOl1l1Abvz8xoq5ABwtt,313VQeWKBWVSt90xfJKK0Y803ga2
1716812427214,R3XawjusHQ57Mla9yIcm,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1715875017516,48Oxzwdhu2crSuSb9jyD,hA911Hr90KPbY6yO0OACx8tP2NE2
1716742853625,eOl1l1Abvz8xoq5ABwtt,AkK9DilFPCOis7c5aImtHk8Ui5m1
1716831114381,tT8yKDzWw4zoQtl2g6gm,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1717604999627,R3XawjusHQ57Mla9yIcm,313VQeWKBWVSt90xfJKK0Y803ga2
1717333019067,Initial,2MQXbrefhTbyejpLcfrEkn01rSz1
1716796462552,48Oxzwdhu2crSuSb9jyD,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1717063196698,NMm07ka3XBMO7S0N6T7y,X5pSoHXR7oa4XH90Mg3huDaWASt1
1716773359759,H1rNSqdq9p7Ptonzir0W,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1716127524571,48Oxzwdhu2crSuSb9jyD,z5Vl3tUSRgalHfSho6JFNkpjxpn1
1716106859548,tT8yKDzWw4zoQtl2g6gm,zAUbebwMo3TY8MqBKBldpDeyIUb2
1717943946688,tT8yKDzWw4zoQtl2g6gm,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1716792325832,H1rNSqdq9p7Ptonzir0W,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1716036976076,Initial,03HAO5vU6BOlF3NSeYVTzyRaJ6W2
1716465883229,eOl1l1Abvz8xoq5ABwtt,axYHQ2yjnTdwLf6R7eP5LKm82Y53
1716792423178,atJ7z1W4KzLIoNJZFrY9,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1716773270457,atJ7z1W4KzLIoNJZFrY9,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1716773274815,uYQhDPTqxbOSjzxNOimn,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1717063088042,Initial,X5pSoHXR7oa4XH90Mg3huDaWASt1
1717063140427,R3XawjusHQ57Mla9yIcm,X5pSoHXR7oa4XH90Mg3huDaWASt1
1717449074873,R3XawjusHQ57Mla9yIcm,7odmEfSWmpOK0yXpKAux6oD84n33
1717777894892,H1rNSqdq9p7Ptonzir0W,VACXPdk4TsUF70UeduW2icfq9X62
1716027943695,atJ7z1W4KzLIoNJZFrY9,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1716536372439,H1rNSqdq9p7Ptonzir0W,OFfw0tOPqLfFbMCfwNoVYcxKNJf1
1716106904837,fNm6RTc6SfFtjJ73hnTx,zAUbebwMo3TY8MqBKBldpDeyIUb2
1716127522305,Initial,z5Vl3tUSRgalHfSho6JFNkpjxpn1
1717604902540,tT8yKDzWw4zoQtl2g6gm,313VQeWKBWVSt90xfJKK0Y803ga2
1716106851524,H1rNSqdq9p7Ptonzir0W,zAUbebwMo3TY8MqBKBldpDeyIUb2
1716810864255,H1rNSqdq9p7Ptonzir0W,UA1M59C8H0UtN5oIYKGV9DYoXVI2
1715875040220,48Oxzwdhu2crSuSb9jyD,hA911Hr90KPbY6yO0OACx8tP2NE2
1714838937859,eOl1l1Abvz8xoq5ABwtt,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1717605275648,atJ7z1W4KzLIoNJZFrY9,313VQeWKBWVSt90xfJKK0Y803ga2
1716028004692,Initial,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1717964177135,fNm6RTc6SfFtjJ73hnTx,313VQeWKBWVSt90xfJKK0Y803ga2
1717063062472,H1rNSqdq9p7Ptonzir0W,X5pSoHXR7oa4XH90Mg3huDaWASt1
1717605107109,tT8yKDzWw4zoQtl2g6gm,313VQeWKBWVSt90xfJKK0Y803ga2
1717613029048,R3XawjusHQ57Mla9yIcm,313VQeWKBWVSt90xfJKK0Y803ga2
1716773264344,NMm07ka3XBMO7S0N6T7y,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1717605211117,NMm07ka3XBMO7S0N6T7y,313VQeWKBWVSt90xfJKK0Y803ga2
1717354064450,Initial,RM7mi4SVvGhIydxwmmt6djQQL3D3
1716106847697,eOl1l1Abvz8xoq5ABwtt,zAUbebwMo3TY8MqBKBldpDeyIUb2
1716773258974,tT8yKDzWw4zoQtl2g6gm,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1717006230117,eOl1l1Abvz8xoq5ABwtt,DFZU3UfzhgRM1sHo3poKO1nioqF2
1716792426095,uYQhDPTqxbOSjzxNOimn,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1716831112798,eOl1l1Abvz8xoq5ABwtt,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1716534679860,H1rNSqdq9p7Ptonzir0W,NaPJhyyglGO5W5en9C6P4BoUXof2
1717490430864,48Oxzwdhu2crSuSb9jyD,xAMdtkw2WJcF7BJ2cPyscJzMosa2
1714838933477,Initial,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1717852795735,H1rNSqdq9p7Ptonzir0W,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1716831113330,H1rNSqdq9p7Ptonzir0W,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1717062776995,H1rNSqdq9p7Ptonzir0W,X5pSoHXR7oa4XH90Mg3huDaWASt1
