prestataireUid,payeurUid,receveurUid,isPayeur,updatedTime,description,order_reference,note
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1709925906988,👍🏾👍🏾👍🏾🇨🇲,fw07RwRkAumA0GQFtC2p1709923871354,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,LYROp4GGv4Znpvp3n5Pp32JyBSj1,914umpyeZkY5lglo8KGumeZWF002,False,1701362920234,,Aigmb5z7pCs9Q9Qw8rc71701082646698,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1711473044393,👍🏾👍🏾👍🏾,IY34zjAhWsy6WoHSOPNe1711019198351,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1716029849458,,mJjdyXjzCSMwSYO6rrTW1716027143611,4.5
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,Wjfodoj9a3MkIoZWRLEDtkE8DeF2,914umpyeZkY5lglo8KGumeZWF002,True,1697037125350,Bon travail,ed3XB0FowEPeFSNYewGK1697036655528,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1706629910292,Très bon travail,VTyrJvWtiJPvhpvnlqtc1706623901865,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1712936131463,👍🏾👍🏾,9B0VaYTMMOZec8mm8u0Q1712935621919,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1717428162397,Excellent ,tQwD2hUNTlKO0fDRCgpW1717243070100,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,fgeLxcrw7sjhiQ6X2295,True,1709916773647,Bon travail ,tt6LK6DGESZJXB9V1ROk1709736239768,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1709578011326,,uOG7s8xqCNZSa8Y2GEsI1709474877962,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,is374p6NnHNF6Xu4obrSYzCYZTc2,True,1720111411628,👍🏾👍🏾👍🏾👍🏾,b1iPERhr41GG4TeEThUW1720111025015,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1711473034685,👍🏾👍🏾,UCzTPuVoAeJoOv8hdDnF1710780971911,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,qMHVQGPKvNMdZLX8YnPH29ZYoyG3,1TsSPbse5IZ0SL4XWhWgVmFv6BI3,True,1699541355060,Excellent travail. Je recommande ,d6rnZlKlZhPfxl9EyYPR1699540719793,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,jSBTLbG6KPWQ7diEv6IB,True,1709495198544,Top,EPmnuQmfHIfe2EfYInGm1709474790296,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1715784858352,Bon travail ,bHAgXoqp5c5HpVoxpeZC1714833555358,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1706890088566,Excellent travail,4G5Sz9LAZOtjqrmBNJD61706719509508,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,SF41IxDyM4RSbTEsLNV1TP7JhdE2,False,1712853254108,bon travail,uOekcgQLKxORtGK11N3m1710782054941,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1712652629935,,IY34zjAhWsy6WoHSOPNe1711019198351,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1714836400158,👍🏾👍🏾😎,1Vv4z1DsYsnvfya13THS1714827782236,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,jSBTLbG6KPWQ7diEv6IB,True,1709472190728,Ils sont très bon 👍🏾👍🏾,dxfo8TkF5A3CKI2vItiF1709468450427,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,uGif7t1Ue0WWHNlSzKRmFPh4oSv2,False,1702296322401,Excellent,3eCiB59Ni3QVcwp9Pcd21701461273846,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1706890866804,Très bon travail ,EtMM9a62IEbH5Z3lseYO1706890693829,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1716030887786,👍🏾,cwM09NjNpLfLzosfKGNW1716028023248,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1716027727827,👍🏾,7Z6oUXAdpQWu3iOjN0H51716027206503,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,SF41IxDyM4RSbTEsLNV1TP7JhdE2,True,1712672110468,Excellent,uOekcgQLKxORtGK11N3m1710782054941,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1716029858037,,O8ggrSkD0oxdxvvCZmBa1715963433281,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1706625721101,,VTyrJvWtiJPvhpvnlqtc1706623901865,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1715854815647,,G84A9GyQH2I0X8VSrsyN1715788830980,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1712652625522,,UCzTPuVoAeJoOv8hdDnF1710780971911,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1709925916398,🇨🇲🇨🇲🇨🇲🇨🇲🔥🔥🔥🔥,AOpbBhTnMDPSJgpaQfAk1709922753729,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,dOzQvTKmmM1n5iQQnlfm,True,1709550896799,👍🏾👍🏾,xiDAyGPF2yseGScG4PM41709549862401,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1715927561193,,lR6kWBbBejwfs1mdeCud1715886550474,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1706623846444,👍🏾👍🏾👍🏾,PLOtUCA7uvU7RdZb0qBN1706119676875,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,CxnCGx3KWiPYyloHxLlDVL5fXPs1,uGif7t1Ue0WWHNlSzKRmFPh4oSv2,False,1701442460152,Les meilleurs a DLA,UG4aVi4K5NMMTGPuGvds1701439974302,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1706625724787,,SNC1JO4qdfPrObd0MsnH1706106536373,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,CxnCGx3KWiPYyloHxLlDVL5fXPs1,914umpyeZkY5lglo8KGumeZWF002,False,1701366143860,,deTsxwJ1OPgHnAvzkIWA1701365033481,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1716029862528,,HAIehgFGuM0Wzg6KgTx61715951345414,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1709969497011,,AOpbBhTnMDPSJgpaQfAk1709922753729,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,TTpIFmCqxgT4qSSJRSuS,True,1715786690875,👍🏾👍🏾👍🏾👋🏾,BUxyFTLsg4NYgIn7L2at1714832101654,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1706625728031,,PLOtUCA7uvU7RdZb0qBN1706119676875,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1713986533306,,9B0VaYTMMOZec8mm8u0Q1712935621919,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1709475494844,,GfwgI1Pxde9LVzhd41Ne1709473064814,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1716029853935,,cwM09NjNpLfLzosfKGNW1716028023248,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1709578019946,,K0EGuLIo32ota5B1CTvA1709541722827,4.5
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,CxnCGx3KWiPYyloHxLlDVL5fXPs1,914umpyeZkY5lglo8KGumeZWF002,True,1701365200868,Excellent travail,deTsxwJ1OPgHnAvzkIWA1701365033481,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1715786498124,,bHAgXoqp5c5HpVoxpeZC1714833555358,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,qMHVQGPKvNMdZLX8YnPH29ZYoyG3,914umpyeZkY5lglo8KGumeZWF002,True,1697126444610,Excellent travail,Ws1gKNO6vgv3hi6i8wfL1697125672473,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1709578037240,,83U9ZKlNiXMJsQiM9xCj1709549372795,4.5
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,Wjfodoj9a3MkIoZWRLEDtkE8DeF2,914umpyeZkY5lglo8KGumeZWF002,True,1697051230339,👍🏾,JjGqgq1YMZV6G468QKJN1697050585796,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1715927061128,Professionnels👍🏾👍🏾,lR6kWBbBejwfs1mdeCud1715886550474,5.0
6vKFwEf8eMRFjjSNrjJhssgZ15X2,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1708430952122,,Bw0kMM74d6aQnmuaF48c1707397474032,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1714043093133,,9B0VaYTMMOZec8mm8u0Q1712935621919,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1716027718563,👍🏾,mJjdyXjzCSMwSYO6rrTW1716027143611,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1709474288143,Excellent,GfwgI1Pxde9LVzhd41Ne1709473064814,5.0
6vKFwEf8eMRFjjSNrjJhssgZ15X2,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1707399043673,Excellent magasin sur Douala,Bw0kMM74d6aQnmuaF48c1707397474032,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1709555287644,👍🏾,TvxbAf6QXq03OYr5j4ii1709553075052,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1709969492540,,fw07RwRkAumA0GQFtC2p1709923871354,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1715784872529,Excellent ,ZmQzks0qOcu99YOxKMBT1715765761519,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,CxnCGx3KWiPYyloHxLlDVL5fXPs1,914umpyeZkY5lglo8KGumeZWF002,True,1701364695917,👍🏾👍🏾👍🏾👍🏾 les meilleurs ,wKl2dYzcv6FFwaCRuccO1701364342730,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1709578016042,,TvxbAf6QXq03OYr5j4ii1709553075052,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1709550549657,Très bon travail,83U9ZKlNiXMJsQiM9xCj1709549372795,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,Wjfodoj9a3MkIoZWRLEDtkE8DeF2,914umpyeZkY5lglo8KGumeZWF002,True,1697104777797,,JjGqgq1YMZV6G468QKJN1697050585796,3.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1706889422515,Les meilleurs,wZXnA8aOnYvuMdvqMkqR1706716623082,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1715790016094,Très compétant ,G84A9GyQH2I0X8VSrsyN1715788830980,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1720166349380,,gdGooY5HQdD9SbfPTluz1720104283512,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,qMHVQGPKvNMdZLX8YnPH29ZYoyG3,914umpyeZkY5lglo8KGumeZWF002,False,1697126405001,très bonne prestation ,Ws1gKNO6vgv3hi6i8wfL1697125672473,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,G3GdBgJOEQUD0FbJGQto4R9zLGU2,qMHVQGPKvNMdZLX8YnPH29ZYoyG3,True,1700767313741,Excellent,DDx3mlKb20CNK0MkK7FL1700765535855,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,CxnCGx3KWiPYyloHxLlDVL5fXPs1,uGif7t1Ue0WWHNlSzKRmFPh4oSv2,True,1701441544387,👍🏾👍🏾👍🏾,UG4aVi4K5NMMTGPuGvds1701439974302,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,dOzQvTKmmM1n5iQQnlfm,True,1709495192397,Genial,cjf9Uws3k4MSpoOODNwo1709475267219,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,LYROp4GGv4Znpvp3n5Pp32JyBSj1,914umpyeZkY5lglo8KGumeZWF002,True,1701274594871,👍🏾 excellent service ,Aigmb5z7pCs9Q9Qw8rc71701082646698,3.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,FczpdsgVXFvYCPmu8ZH1,True,1720110875410,Très bon,U3wjbFBA9PSHX1TITFub1720107034830,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1716029867087,,7Z6oUXAdpQWu3iOjN0H51716027206503,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,SF41IxDyM4RSbTEsLNV1TP7JhdE2,True,1702299554957,Tres bin travail. Merci,0QgxDkB9NmH9SXU3SPLA1702299182526,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,41emtBp3KkhP9p4rMKCA,True,1715797086022,Merci,Bfo87pFPeiuINgjj106S1715795869646,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1706953226535,,4G5Sz9LAZOtjqrmBNJD61706719509508,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1715956080459,👍🏾,HAIehgFGuM0Wzg6KgTx61715951345414,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,Wjfodoj9a3MkIoZWRLEDtkE8DeF2,914umpyeZkY5lglo8KGumeZWF002,False,1697044916870,Service de qualité. Disponibilité de l'équipe ,ed3XB0FowEPeFSNYewGK1697036655528,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,qMHVQGPKvNMdZLX8YnPH29ZYoyG3,1TsSPbse5IZ0SL4XWhWgVmFv6BI3,True,1698185851869,,2hdmmWLkEGBmHb2qf0Q71697927482910,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,qMHVQGPKvNMdZLX8YnPH29ZYoyG3,1TsSPbse5IZ0SL4XWhWgVmFv6BI3,False,1697999282486,Excellent travail ,2hdmmWLkEGBmHb2qf0Q71697927482910,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1716027072244,👍🏾,O8ggrSkD0oxdxvvCZmBa1715963433281,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1706615778884,Excellent travail,SNC1JO4qdfPrObd0MsnH1706106536373,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,yeFZLXFFnwXZ8VDIi78r,True,1710782663149,Très bon travail ,7e2rQKAPpKDyPcd3AOx31710780850130,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,SF41IxDyM4RSbTEsLNV1TP7JhdE2,False,1705073184500,excellent,0QgxDkB9NmH9SXU3SPLA1702299182526,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1718104799123,,tQwD2hUNTlKO0fDRCgpW1717243070100,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,jSBTLbG6KPWQ7diEv6IB,True,1709474299126,Très bon travail ,9oD5opqsjjvyMH2F1pvF1709472887491,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1715786504177,,ZmQzks0qOcu99YOxKMBT1715765761519,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1709495185614,👍🏾,uOG7s8xqCNZSa8Y2GEsI1709474877962,5.0
6vKFwEf8eMRFjjSNrjJhssgZ15X2,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1707392728691,👍🏾,KdKw7WOV0ORmmBrrbALV1707326900402,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1706953219504,,wZXnA8aOnYvuMdvqMkqR1706716623082,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,uGif7t1Ue0WWHNlSzKRmFPh4oSv2,True,1701462030241,Très bon travail,3eCiB59Ni3QVcwp9Pcd21701461273846,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,CxnCGx3KWiPYyloHxLlDVL5fXPs1,914umpyeZkY5lglo8KGumeZWF002,True,1701442045968,Excellent.,Ec1DXDo7Uz7nInX1g6ir1701440295914,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,qMHVQGPKvNMdZLX8YnPH29ZYoyG3,1TsSPbse5IZ0SL4XWhWgVmFv6BI3,False,1699541253804,👍🏾,d6rnZlKlZhPfxl9EyYPR1699540719793,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1720110869339,Excellent,gdGooY5HQdD9SbfPTluz1720104283512,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,True,1709542548199,👌🏽👌🏽👍🏾,K0EGuLIo32ota5B1CTvA1709541722827,5.0
6vKFwEf8eMRFjjSNrjJhssgZ15X2,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1707393710182,,KdKw7WOV0ORmmBrrbALV1707326900402,5.0
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,CxnCGx3KWiPYyloHxLlDVL5fXPs1,914umpyeZkY5lglo8KGumeZWF002,False,1701444482169,,Ec1DXDo7Uz7nInX1g6ir1701440295914,4.5
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,Wjfodoj9a3MkIoZWRLEDtkE8DeF2,914umpyeZkY5lglo8KGumeZWF002,True,1697020321236,👍🏾,bBcASGkknTQBC12Qenwd1697018129781,4.5
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,z5Vl3tUSRgalHfSho6JFNkpjxpn1,914umpyeZkY5lglo8KGumeZWF002,False,1706953223214,,EtMM9a62IEbH5Z3lseYO1706890693829,5.0
